biaoshi,ID,Name,Position,Context,goto,GM,BgImg,charactor1,action1,x1,charactor2,action2,x2,others
#,0, ,,津浦市，LIVEHOUSE“大乐城”。,1,,前台,,,,,,,
#,1, ,,这里是摇滚人云集追梦，听众寻求碰撞，激荡与感动的场所。,2,,,,,,,,,
#,2, ,,凡是上台的表演者，无不希望怀着自信与从容，用自己独一无二的音乐迎接观众的期待，收获掌声，喝彩和聚光灯的照耀。,3,,,,,,,,,
#,3, ,,当然，并非所有乐队都能做到这一点，由于各种原因冷场——这种情况并不多见，对于乐队的打击却非同小可。,4,,,,,,,,,
#,4,主唱,,（不过，目前的我尚且不用考虑这些事）,5,,,墨常服/闭眼,appearAt,600,,,,
#,5, ,,时间正是上午，LIVEHOUSE四下无人，演出厅也并未传来声响。,6,常态,,墨常服/平静,change,600,,,,
#,6, ,,——适合练习的好时机。,7,,,墨常服/温柔,change,600,,,,
#,7, ,,将吉他背在背上，我能感受到每走一步时后方传来的震颤。,8,,,,,,,,,
#,8,主唱,,表演若想收获观众的喜爱，就得先让自己折服才对。,9,,,墨常服/深思,change,600,,,,
#,9, ,,今天做风格适应练习，目标是三首样曲,10,,,墨常服/决心,change,600,,,,
#,10, ,,我走向练习室。,11,,,,,,,,,
#,11, ,,本游戏是一款音游，你需要使用左手模拟实际弹奏吉他时的和弦，在音符出现时按下键盘左侧区域对应的按键，左手保持和弦后，才能进行右手判定。,12,,,墨常服/决心,disappear,600,,,,
#,12, ,,对于右手，在同一时间内，你能够按下上下左右之中的任意一个方向，在音符到达判准线时按下对应方向键，方可成功判定。,13,,,,,,,,,
#,13, ,,"音符判定共有四种等级：PERFECT、GREAT、GOOD和MISS、分别能够获得不同的“演出指数”。另外，在演奏期间出现MISS和GOOD时，将扣减演出生命值“合拍值”。",14,,,,,,,,,
#,14, ,,游戏中，你还可以通过完美判定技能音符，使用先前装配的“skill”，它们分别是：无视左手判定，完美判定回复合拍值，以及获得更宽泛的右手判定范围。,15,,,,,,,,,
#,15, ,,竭尽全力演出，更好的表现将获得更高的演出指数，演出指数将推高演出氛围，以获得更高的演出氛围为目标吧！,16,,,,,,,,,
#,16, ,,眼下太安静了，期待着悦耳的音符奏响。,17,,,,,,,,,
