biaoshi,ID,Name,Position,Context,goto,GM,BgImg,charactor1,action1,x1,charactor2,action2,x2,others
#,0, ,,津浦市，LIVEHOUSE“大乐城”，演出厅。,1,喘气声,舞台加观众,,,,,,,
#,1, ,,这里是摇滚人云集追梦，听众寻求碰撞，激荡与感动的场所。,2,,,,,,,,,
#,2, ,,凡是上台的表演者，无不希望怀着自信与从容，用自己独一无二的音乐迎接观众的期待，收获掌声，喝彩和聚光灯的照耀。,3,,,,,,,,,
#,3, ,,当然，并非所有乐队都能做到这一点，由于各种原因冷场——这种情况并不多见，对于乐队的打击却非同小可。,4,,,,,,,,,
#,4,主唱,A,（第一次来到这么高规格的LIVE，还是没办法抑制心中的紧张吗）,5,,,演出墨沉思,appearAt,600,,,,
#,5, ,,无数遍的排练预演没能发挥应有的镇静作用。,6,,,,,,,,,
#,6, ,,听众起起伏伏的细语夹着效果器的杂音，设备那几乎不可听闻的嗡鸣，在我听来却显得那么重，那么响。,7,,,,,,,,,
#,7, ,,——它们催促我立刻开口。,8,,,,,,,,,
#,8,兴奋的观众,,不错嘛！刚刚那个OPEN VIRUS乐队，没想到他们居然这么强，这一场演出可真是来对了。,9,人声嘈杂,,,,,,,,
#,9,好奇的观众,,现在台上那个贝斯手好像挺有名的唉，可我没记错的话，他一直都只SOLO的......,10,,,,,,,,,
#,10,敏锐的观众,,都调教好设备了怎么还不开始啊，主唱这是太紧张顿住了吗？,11,,,,,,,,,
#,11,坚定的观众,A,当了大半年的老粉，我不会走眼的，他们的歌绝对不会有问题，就先给他们一点时间吧。,12,,,演出墨移眼,change,600,,,,
#,12, ,,人潮涌动，其中不乏摇滚老鸟和熟悉的人们，交谈不绝于耳，让乐手们深深感受到被注视，被鉴别，被评定——纵使再有演出经验的人，也很难抵御住这样盛大的威势。,13,,,,,,,,,
#,13, ,A,大舞台下的嘈杂让听觉更加敏感，使我清晰地捕捉身后成员不算稳定的呼吸声，的确，这场LIVE对于我们有特殊的意义，是压力，是检验，也是契机。,14,,,演出墨沉思,change,600,,,,
#,14, ,,必须要开口发言了——可在这样的场合，必须三思才行。,15,,,,,,,,,
#,15, ,,开场白是乐队展示自己的前哨，入场时怎么说，随后便怎么唱。,16,,,,,,,,,
#,16, ,,没有标准模板，却存在“最好的答案”，而它一定是在摇滚与回忆本身之中被寻得。,17,,,,,,,,,
#,17,主唱,,大、大家好。,18,,,演出墨动摇,appearAt,600,,,,
#,18,主唱,,首先感谢大家今天来“大乐城”看演出！,19,,,,,,,,,
#,19,随性的观众,,好正式......,20,,,,,,,,,
#,20, ,,面对着无数眼光的检视，我心中却反而升起一股安定感。,21,,,,,,,,,
#,21, ,,大脑飞速运转，紧绷的思维正将每一分每一秒拉伸为永恒，过往的时间宛如气泡般浮现。,22,,,,,,,,,
#,22,主唱,,与摇滚初次邂逅的回忆，我会在那之中得出答案。,23,耳鸣,,,,,,,,
#,23, ,A,一年前，津浦市侑川中学教室，星期四。,24,,教室,演出墨沉思,disappear,600,,,,
#,24, ,,早读时间。,25,常态,,,,,,,,
#,25,认真的学生,A,邱老师好，今天您布置作业吗？,26,,,墨常服/平静,appearAt,120,,,,
#,26,班主任,B,是的，做第一单元专项练习小题单，你找个时间过来拿，然后发掉。,27,,,,,,班主任,appearAt,0,
#,27,认真的学生,,好的，我在第三节课的课间来找您，可以吗？,28,,,,,,,,,
#,28,班主任,A,可以，对了，张萌泉同学请前两节课的假，她一个月请这么多假，不知道人到底怎么了，唉......你是她同桌，认识她好像也很早，知道什么情况吗？,29,,,墨常服/温柔,change,120,,,,
